key_development_areas,text,business_area_id,scenario,related_skill,question_id,key_dev_areas_str
"['Quality Control and Assurance', 'Client and Stakeholder Management']",How confident are you in addressing client concerns and ensuring their quality expectations are met?,43Ls2FqjQE0FLcRCRyoj,A client raises concerns about the quality of the finished work.,monitor_quality,1AGxl8eqvft5ag0Ot046,Quality Control and Assurance Client and Stakeholder Management
"['Project Planning and Scheduling', 'Site Management and Coordination']",How would you rate your ability to understand the overall project plan and measure and record progress effectively?,43Ls2FqjQE0FLcRCRyoj,You need to measure and record progress against the project plan.,planning_and_organising_work,3FrUUKiL0FpXBi12ga78,Project Planning and Scheduling Site Management and Coordination
"['Project Planning and Scheduling', 'Time Management']",Rate your ability to adjust the project plan and reorganise work to accommodate delays.,43Ls2FqjQE0FLcRCRyoj,Unexpected issues have caused delays in the project schedule.,planning_and_organising_work,4JFfo7jd6L5EOrDkBfl7,Project Planning and Scheduling Time Management
"['Quality Control and Assurance', 'Communication and Reporting']",Rate your ability to accurately document and communicate quality standards and findings.,43Ls2FqjQE0FLcRCRyoj,You need to document and report on the quality of construction work.,monitor_quality,5TgMcKdbTEeHTtAEY6jJ,Quality Control and Assurance Communication and Reporting
"['Budget and Cost Control', 'Problem-Solving and Decision-Making']",Rate your ability to identify and implement cost-saving measures without compromising quality.,43Ls2FqjQE0FLcRCRyoj,Unexpected expenses arise that threaten to push the project over budget.,monitor_costs,6j8LcSLf23iUl17ofIOu,Budget and Cost Control Problem-Solving and Decision-Making
"['Quality Control and Assurance', 'Technical Skills and Construction Knowledge']",Rate your ability to assess and ensure that construction work meets the required quality standards.,43Ls2FqjQE0FLcRCRyoj,You need to assess the quality of the ongoing construction work.,monitor_quality,ClwSNyfPoFMKbBvQShJT,Quality Control and Assurance Technical Skills and Construction Knowledge
"['Health and Safety Management', 'Leadership and Team Management']",Assess your competency in organising and conducting effective safety drills.,43Ls2FqjQE0FLcRCRyoj,You need to conduct a safety drill to ensure all team members are prepared for emergencies.,health_and_safety,EumLM6rkP8yYYMoQAiuM,Health and Safety Management Leadership and Team Management
"['Construction Methods and Technology', 'Technical Skills and Construction Knowledge']",Rate your ability to assist in the implementation of new construction technologies on site.,43Ls2FqjQE0FLcRCRyoj,The project involves implementing a new construction technology.,construction_technology,F3hLvN6n1gUpCNaK9GiG,Construction Methods and Technology Technical Skills and Construction Knowledge
"['Construction Methods and Technology', 'Problem-Solving and Decision-Making']",How confident are you in staying updated with the latest construction technologies and applying them to your projects?,43Ls2FqjQE0FLcRCRyoj,You need to keep up with the latest advancements in construction technology.,construction_technology,InUH1d8i2Ln0p3TFFYlh,Construction Methods and Technology Problem-Solving and Decision-Making
"['Budget and Cost Control', 'Problem-Solving and Decision-Making']",Assess your competency in analysing budget discrepancies and implementing corrective actions.,43Ls2FqjQE0FLcRCRyoj,There are discrepancies between the budget forecasts and actual expenses.,monitor_costs,IxuGfRNaxUQYncfmZmrP,Budget and Cost Control Problem-Solving and Decision-Making
